n_amenageur;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations
Aix-Marseille-Provence;FR*M13*P13026*001;CHATEAUNEUF-LES-MARTIGUES - Place Des Résistants;Place Des Résistants 13220 CHATEAUNEUF-LES-MARTIGUES;13026;5.162934;43.382782;2;FR*M13*E13026*001*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13216*002;MARSEILLE-16E - 9 Rue Rabelais;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-16E;13216;5.337002;43.357724;0;FR*M13*E13216*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13212*002;MARSEILLE-12E - Avenue Des Caillols;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-12E;13212;5.450343;43.303279;0;FR*M13*E13212*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13014*003;BERRE-L'ETANG - Parking De L'Europe;Parking De L'Europe 13130 BERRE-L'ETANG;13014;5.168563;43.477008;2;FR*M13*E13014*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13210*001;MARSEILLE-10E - 271 Bd Paul Claudel;271 Bd Paul Claudel 13010 MARSEILLE-10E;13210;5.421824;43.269773;2;FR*M13*E13210*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13208*006;MARSEILLE-8E - Boulevard Bonne Brise;Boulevard Bonne Brise 13008 MARSEILLE-8E;13208;5.360065;43.235296;0;FR*M13*E13208*006*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*007;MARSEILLE-13E - Rue Frédéric Joliot Curie;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-13E;13213;5.436152;43.342681;0;FR*M13*E13213*007*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13001*012;AIX-EN-PROVENCE - Place Du Souvenir Français;Place Du Souvenir Français 13090 AIX-EN-PROVENCE;13001;5.460704;43.526456;2;FR*M13*E13001*012*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*013;ISTRES - Halle Polyvalente Rassuen;Halle Polyvalente Rassuen 13800 ISTRES;13047;4.974134;43.494049;2;FR*M13*E13047*013*2;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13213*002;MARSEILLE-13E - 6 Chemin De Palama;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-13E;13213;5.437851;43.352498;2;FR*M13*E13213*002*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*010;ISTRES - Gymnase Donadieu;Gymnase Donadieu 13800 ISTRES;13047;4.988791;43.507643;4;FR*M13*E13047*010*3;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13091*001;SAINT-CANNAT - Avenue Jean Moulin;Avenue Jean Moulin 13760 SAINT-CANNAT;13091;5.299185;43.623065;2;FR*M13*E13091*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13207*004;MARSEILLE-7E - 85 Boulevard Charles Livon;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-7E;13207;5.358481;43.291969;0;FR*M13*E13207*004*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13215*005;MARSEILLE-15E - 456 Rue De Lyon;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-15E;13215;5.360216;43.341629;0;FR*M13*E13215*005*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13206*003;MARSEILLE-6E - Boulevard Notre Dame;Boulevard Notre Dame 13006 MARSEILLE-6E;13206;5.373637;43.287646;2;FR*M13*E13206*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13216*003;MARSEILLE-16E - 148 Plage De L'Estaque;Allée des Coudercs - Parking aire de jeu 0 MARSEILLE-16E;13216;5.309551;43.362236;0;FR*M13*E13216*003*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13928*002;ENTRESSENS - Gymnase Arcelli;Gymnase Arcelli 13118 ENTRESSENS;13928;4.933619;43.59184;2;FR*M13*E13928*002*1;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13001*003;AIX-EN-PROVENCE - Chemin Des Plâtrières;Chemin Des Plâtrières 13080 AIX-EN-PROVENCE;13001;5.419379;43.556706;0;FR*M13*E13001*003*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13001*001;AIX-EN-PROVENCE - Rue Neil Armstrong;Rue Neil Armstrong 0 AIX-EN-PROVENCE;13001;5.347074;43.485668;2;FR*M13*E13001*001*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13047*011;ISTRES - Cec Piscine;Cec Piscine 13800 ISTRES;13047;4.995847;43.499057;4;FR*M13*E13047*011*3;18;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13055*002;MARSEILLE - Parking Technoptic;Parking Technoptic 13000 MARSEILLE;13055;5.431385;43.344402;2;FR*M13*E13055*002*3;4;EF;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13001*011;AIX-EN-PROVENCE - Avenue Winston Churchill;Avenue Winston Churchill 13090 AIX-EN-PROVENCE;13001;5.446349;43.519237;0;FR*M13*E13001*011*2;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
Aix-Marseille-Provence;FR*M13*P13056*004;MARTIGUES - Avenue De La Gare De La Couronne;Avenue De La Gare De La Couronne 13500 MARTIGUES;13056;5.053184;43.339068;2;FR*M13*E13056*004*1;22;EF - T2;payant;24h/24 7j/7;Recharge par badge et avec une application smartphone
